Overall health status,Depression,Interpersonal sensitivity,Anxiety,Obsessive-compulsive tendencies,Paranoid ideation,Hostility,Academic stress,Maladpatation,Emotional disturbance,Psychological imbalance,Suicidal tendency
0.90015688,0.839129942,0.885125184,0.775102984,0.74614371,0.892251413,0.877166045,0.750161233,0.907874534,0.792955326,0.924470971,0.863127879
0.90015688,0.820498802,0.85586647,0.780450273,0.692760503,0.884514148,0.892424922,0.694354587,0.907874534,0.835168697,0.924470971,0.863127879
0.90015688,0.794627441,0.829717615,0.775102984,0.703996611,0.892251413,0.892424922,0.70265411,0.916195544,0.702807262,0.920887494,0.885125184
0.933575445,0.858598875,0.892783505,0.790474056,0.726111709,0.885425113,0.892602243,0.822212072,0.907874534,0.829259817,0.933209037,0.900613923
0.874161348,0.810233986,0.829717615,0.796184056,0.722774133,0.877166045,0.884917078,0.682268041,0.886441737,0.829259817,0.924470971,0.833002768
0.906635857,0.810233986,0.877633348,0.775609064,0.724681625,0.892424922,0.892602243,0.727908689,0.907874534,0.841213414,0.942135018,0.870573734
0.874161348,0.817545987,0.877633348,0.745195805,0.755014058,0.892424922,0.829340533,0.792378666,0.888480502,0.829613003,0.933266822,0.847062674
0.880369785,0.819719799,0.900613923,0.829259817,0.755014058,0.892424922,0.892602243,0.729965636,0.916195544,0.788829727,0.933266822,0.86884307
0.889147287,0.78057152,0.899739583,0.759722222,0.757850242,0.883512545,0.899421296,0.817307692,0.923913043,0.734375,0.944856875,0.876602564
0.907407407,0.778645833,0.817281969,0.803776042,0.73950268,0.875886525,0.868683511,0.734903382,0.906914894,0.81404321,0.932571685,0.865885417
,,,,,,,,,,,
89.66%,81.30%,86.66%,78.31%,73.24%,88.68%,88.22%,74.54%,90.70%,79.98%,93.14%,86.74%
0.933575445,0.858598875,0.900613923,0.829259817,0.757850242,0.892424922,0.899421296,0.822212072,0.923913043,0.841213414,0.944856875,0.900613923
0.874161348,0.778645833,0.817281969,0.745195805,0.692760503,0.875886525,0.829340533,0.682268041,0.886441737,0.702807262,0.920887494,0.833002768
0.04,0.05,0.03,0.05,0.03,0.01,0.02,0.08,0.02,0.04,0.01,0.03
0.02,0.03,0.05,0.04,0.04,0.01,0.05,0.06,0.02,0.1,0.01,0.03
