Overall health status,Depression,Interpersonal sensitivity,Anxiety,Obsessive-compulsive tendencies,Paranoid ideation,Hostility,Academic stress,Maladpatation,Emotional disturbance,Psychological imbalance,Suicidal tendency
81,71,78,65,56,81,80,50,84,66,87,78
0,0,0,2,5,0,0,11,0,1,0,0
11,20,13,21,20,12,14,13,10,22,8,16
5,6,6,9,16,4,3,23,3,8,2,3
81,70,77,63,50,81,80,49,84,67,87,78
0,1,1,4,11,0,0,12,0,0,0,0
11,18,13,17,18,13,12,17,10,21,8,16
5,8,6,13,18,3,5,19,3,9,2,3
81,67,77,65,53,81,80,45,84,63,86,78
0,4,1,2,8,0,0,15,0,4,1,0
11,15,15,21,20,12,12,14,9,23,6,13
5,11,4,9,16,4,5,23,4,7,4,6
81,71,78,58,51,79,79,59,84,67,87,78
0,0,0,9,10,1,0,1,0,0,0,0
7,17,12,11,16,10,12,20,10,22,7,11
9,9,7,19,20,7,6,17,3,8,3,8
79,70,77,65,54,80,79,51,81,67,87,74
1,1,1,2,6,0,0,9,3,0,0,3
11,19,15,19,21,14,13,21,7,22,8,12
6,7,4,11,16,3,5,16,6,8,2,8
79,70,78,64,56,80,79,55,84,67,87,77
1,1,0,3,4,0,0,5,0,0,0,0
8,19,14,19,24,12,12,22,10,20,6,15
9,7,5,11,13,5,6,15,3,10,4,5
79,69,78,63,56,80,77,56,83,65,86,76
1,2,0,4,4,0,2,4,1,1,0,1
11,16,14,20,21,12,13,17,9,18,7,14
6,10,5,10,16,5,5,20,4,13,4,6
76,68,78,67,56,80,79,53,84,64,86,76
4,2,0,0,4,0,0,7,0,2,0,1
7,16,11,22,21,12,12,19,9,20,7,12
10,11,8,8,16,5,6,18,4,11,4,8
78,68,77,60,53,80,79,56,84,64,85,77
2,2,0,7,7,0,0,4,0,2,1,0
8,19,11,15,16,13,11,14,8,24,4,14
8,7,8,14,20,3,6,22,4,6,6,5
80,65,75,64,54,80,79,52,84,64,86,76
0,5,2,3,6,0,0,8,0,2,0,1
10,15,14,16,19,14,15,17,10,17,7,12
6,11,5,13,17,2,2,19,2,13,3,7
